,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
13,N/A,N/A,ba,N/A,N/A,N/A,N/A,N/A,967.10,23.41,1.23,210.19,5.52,7.52,4.82,1.0,148.84,114680000000.0,N/A,18.55,1.12,N/A,N/A,N/A,13780000000.0,1.0,N/A,8.12,19.00,7.30,9210000000.0,15.25,10800000000.0,1.25,0.16,11320000000.0,1.0,0.06,74.60,N/A,4.06,1.92,11220000.0,N/A
14,N/A,N/A,bac,N/A,N/A,N/A,N/A,N/A,N/A,14.63,2.90,0.98,23.60,34.91,0.87,1.0,8.00,236660000000.0,N/A,11.06,1.16,N/A,N/A,N/A,N/A,1.0,N/A,1.62,39.90,8.20,520789999999.99994,49.52,488070000000.0,N/A,24.36,5440000000.0,1.0,0.06,63.20,N/A,1.19,1.08,103450000.0,N/A
15,N/A,N/A,bbt,N/A,N/A,N/A,N/A,N/A,N/A,17.23,3.41,1.33,21.76,39.08,1.06,1.0,12.92,35770000000.0,N/A,12.71,2.80,N/A,N/A,N/A,N/A,1.0,N/A,2.56,25.40,11.50,4660000000.0,5.74,24510000000.0,N/A,33.19,2960000000.0,1.0,0.33,60.00,N/A,3.09,1.61,13110000.0,N/A
16,N/A,N/A,ben,N/A,N/A,N/A,N/A,N/A,11.89,14.14,3.85,2.02,27.77,36.14,8.74,1.0,11.26,24640000000.0,N/A,15.35,9.88,N/A,N/A,N/A,6570000000.0,1.0,N/A,3.1,16.70,0.80,11850000000.0,21.12,1680000000.0,12.94,21.69,1910000000.0,1.0,37.70,50.10,N/A,3.77,2.28,8250000.0,N/A
17,N/A,N/A,bk,N/A,N/A,N/A,N/A,N/A,N/A,15.10,3.32,1.43,23.75,33.25,1.04,1.0,14.55,51060000000.0,N/A,12.59,1.34,N/A,N/A,N/A,15170000000.0,1.0,N/A,3.25,12.90,3.40,112060000000.0,107.76,64769999999.99999,N/A,34.23,3220000000.0,1.0,3.58,83.80,N/A,1.48,0.68,6420000.0,N/A
18,N/A,N/A,bms,N/A,N/A,N/A,N/A,N/A,123.09,18.60,1.04,3.31,5.73,10.63,7.29,1.0,43.04,4179999999.9999995,N/A,15.99,2.67,N/A,N/A,N/A,866200000.0,1.0,N/A,2.44,9.10,2.80,50800000.0,0.55,1550000000.0,1.91,13.72,479300000.0,1.0,1.05,75.80,N/A,8.92,5.60,5160000.0,N/A
19,N/A,N/A,btu,N/A,N/A,N/A,N/A,N/A,827.86,1.00,0.48,0.95,9.08,4.09,1.05,1.0,272.39,2410000000.0,N/A,10.15,0.18,N/A,N/A,N/A,607700000.0,1.0,N/A,24.8,N/A,25.00,1070000000.0000001,10.99,9050000000.0,1.99,26.09,624600000.0,1.0,N/A,N/A,N/A,2.37,64.49,9340000.0,N/A
20,N/A,N/A,cab,N/A,N/A,N/A,N/A,N/A,214.12,27.03,0.94,1.90,3.49,7.71,2.37,1.0,59.85,3870000000.0,N/A,18.98,1.63,N/A,N/A,N/A,1700000000.0,1.0,N/A,2.08,16.70,3.40,86680000.0,1.26,4360000000.0,3.03,29.52,515090000.00000006,1.0,27.62,82.50,N/A,2.22,4.31,1740000.0,N/A
21,N/A,N/A,cat,N/A,N/A,N/A,N/A,N/A,280.26,425.98,1.61,4.60,0.37,6.16,1.92,1.0,66.44,62480000000.0,N/A,20.24,0.81,N/A,N/A,N/A,9630000000.0,1.0,N/A,0.25,29.20,3.80,8220000000.000001,13.96,38280000000.0,1.29,23.07,6660000000.0,1.0,0.23,66.60,N/A,4.88,4.14,24110000.0,N/A
22,N/A,N/A,cci,N/A,N/A,N/A,N/A,N/A,183.24,87.43,9.35,5.02,10.70,25.95,2.85,1.0,11.53,37420000000.0,N/A,68.60,3.83,N/A,N/A,N/A,2480000000.0,1.0,N/A,1.17,149.00,8.70,205190000.0,0.56,13490000000.0,1.02,20.38,1790000000.0,1.0,0.73,96.20,N/A,2.62,1.88,5610000.0,N/A
23,N/A,N/A,cfn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,N/A,N/A,1.2,5.0,5.0,N/A,5.0,5.0,5.0,5.0,1.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,5.0,5.0,N/A
24,N/A,N/A,cinf,N/A,N/A,N/A,N/A,N/A,11.60,20.11,2.14,1.66,10.77,15.62,2.72,1.0,34.07,12030000000.0,N/A,23.86,78.63,N/A,N/A,N/A,3.63,1.0,N/A,3.63,6.90,11.70,3.3,3.3,11.60,1.21,44.08,579370000.0,1.0,13.79,63.70,N/A,7.27,2.45,3710000.0,N/A
25,N/A,N/A,cma,N/A,N/A,N/A,N/A,N/A,N/A,21.10,4.63,1.63,22.25,37.06,0.87,1.0,16.13,12880000000.0,N/A,14.53,0.74,N/A,N/A,N/A,N/A,1.0,N/A,3.45,236.70,33.50,8420000000.0,47.59,5290000000.0,N/A,44.69,N/A,1.0,0.71,86.40,N/A,3.17,2.90,5140000.0,N/A
