,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
36,2007-01-28 18:35:04,1170027304.0,el,0.405,40.54,-10.66549140590569,1423.900024,19.007425765703154,-29.672917171608844,underperform
37,2007-02-18 18:55:51,1171842951.0,el,0.389,47.75,5.222565006610836,1456.810059,21.757997070707344,-16.535432064096508,underperform
38,2004-04-23 18:18:58,1082758738.0,gme,0.0,18.17,0.0,1118.150024,0.0,0.0,underperform
39,2007-01-29 05:34:00,1170066840.0,gme,0.721,52.25,187.56191524490916,1422.180054,27.190450608084042,160.37146463682512,outperform
40,2007-03-12 20:00:18,1173744018.0,gme,0.721,54.71,201.10071546505228,1374.02002,22.88333322970978,178.21738223534248,outperform
41,2007-12-21 22:09:27,1198292967.0,gme,0.344,61.45,238.1948266373142,1454.97998,30.123860731589993,208.07096590572422,outperform
42,2006-04-22 16:09:19,1145736559.0,hp,0.175,75.39,0.0,1309.930054,0.0,0.0,underperform
43,2007-03-10 22:58:06,1173585486.0,hp,0.167,28.09,-62.74041650086218,1391.969971,6.262923485836754,-69.00333998669893,underperform
44,2008-01-12 21:32:47,1200191567.0,hp,0.245,37.95,-49.66175885395941,1375.319946,4.991861344071441,-54.65362019803085,underperform
45,2008-04-26 05:08:27,1209200907.0,hp,0.253,55.84,-25.93182119644515,1379.930054,5.3437967764956715,-31.27561797294082,underperform
46,2003-10-27 05:42:02,1067251322.0,jcp,0.905,24.45,0.0,1028.910034,0.0,0.0,underperform
47,2003-12-14 17:10:26,1071439826.0,jcp,0.872,24.05,-1.635991820040894,1868.199951,81.5707777420703,-83.2067695621112,underperform
48,2004-04-23 21:04:04,1082768644.0,jcp,0.991,36.24,48.22085889570553,1118.150024,8.673254905783146,39.547603989922386,outperform
49,2004-06-21 12:44:06,1087836246.0,jcp,0.963,37.85,54.80572597137016,1135.02002,10.312853650331876,44.492872321038284,outperform
50,2004-08-10 22:34:34,1092191674.0,jcp,0.963,39.0,59.50920245398773,1186.439941,15.310367456286281,44.198834997701454,outperform
51,2005-03-01 05:26:54,1109672814.0,jcp,0.812,44.49,81.9631901840491,1248.579956,21.349769633989208,60.613420550059885,outperform
52,2007-02-11 20:01:51,1171242111.0,jcp,0.863,82.85,238.85480572597135,1448.310059,40.761583728514786,198.09322199745657,outperform
53,2007-04-27 18:11:58,1177711918.0,jcp,0.863,82.342,236.77709611451942,1480.410034,43.88138759272708,192.89570852179236,outperform
54,2007-05-28 01:05:06,1180328706.0,jcp,0.91,79.26,224.17177914110428,1515.72998,47.31414117009185,176.85763797101242,outperform
55,2007-05-28 04:37:50,1180341470.0,jcp,0.91,79.26,224.17177914110428,1515.72998,47.31414117009185,176.85763797101242,outperform
